Construtor;Número de GPs;Número de temporadas;Número de pilotos;Vitórias;Poles;Voltas mais rápidas;Pódios
AGS;47;6;10;0;0;0;0
Alfa Romeo;170;13;26;10;12;14;26
AlphaTauri;39;3;3;1;0;1;2
Arrows;291;20;29;0;1;0;8
ATS;89;7;16;0;0;0;0
BAR;117;7;7;0;2;0;15
Benetton;260;16;17;27;15;36;102
BMW Sauber;89;5;6;1;1;2;17
Brabham;394;30;86;35;39;41;124
BRM;197;23;78;17;11;15;61
Caterham;56;3;12;0;0;0;0
Cooper;128;19;117;16;11;14;58
Copersucar;71;5;5;0;0;0;1
Dallara;78;5;6;0;0;0;2
Ensign;99;10;27;0;0;1;0
Ferrari;1030;73;110;238;230;254;778
Fittipaldi;32;3;3;0;0;0;2
Footwork;91;6;11;0;0;0;1
Force India;212;11;13;0;1;5;6
Gordini;33;5;24;0;0;1;2
Haas;122;7;9;0;0;2;0
Hesketh;52;5;15;1;0;1;7
Honda;88;8;11;3;2;2;9
HRT;56;3;11;0;0;0;0
Iso-Marlboro;30;2;13;0;0;0;0
Jaguar;85;5;9;0;0;0;2
Jordan;250;15;36;4;2;2;19
Larrousse;32;3;9;0;0;0;0
Leyton House;30;2;3;0;0;0;1
Ligier;326;21;28;9;9;10;50
Lola;149;15;31;0;1;0;3
Lotus;606;43;145;81;107;76;197
March;197;16;59;3;5;7;21
Marussia;73;4;9;0;0;0;0
Maserati;70;11;111;9;10;15;37
Matra;60;6;5;9;4;12;21
McLaren;902;57;66;183;156;160;493
Mercedes;249;15;12;124;135;94;264
Minardi;340;21;42;0;0;0;0
Osella;132;11;19;0;0;0;0
Penske;40;4;9;1;0;0;3
Porsche;31;7;22;1;1;0;5
Prost;83;5;9;0;0;0;3
Racing Point;38;2;3;1;1;0;4
Red Bull;325;18;14;75;73;76;206
Renault;400;24;31;35;51;33;103
Sauber;373;21;32;0;0;3;10
Shadow;104;8;21;1;3;2;7
Stewart;49;3;4;1;1;0;5
Super Aguri;39;3;5;0;0;0;0
Surtees;118;9;41;0;0;3;2
Theodore;33;4;10;0;0;0;0
Toleman;57;5;10;0;1;2;3
Toro Rosso;268;14;17;1;1;1;3
Toyota;139;8;10;0;3;3;13
Tyrrell;430;29;47;23;14;20;77
Virgin;38;2;4;0;0;0;0
Williams;783;47;71;114;128;133;313
Wolf;47;3;4;3;1;2;13
Zakspeed;53;5;7;0;0;0;0
